,ATS__c,Industry,numJobs,awards,contentCount,followers,freshContent,photos,starRating,clicks,monthOfSignupPageViews,timeOnSite,intDifficulty,intDuration,has_interviews,basePayAmount,subsidiary,employeesTotalNum,RespondedContacts,employerId,isWon
19,UNKNOWN,Education,0.0,2.0,52.0,54.0,10.0,0.0,3.14285714286,61.0,841.0,72,3.3,4.0,1,58585.0,0,38.0,1.0,O3SrL,False
20,UNKNOWN,Finance,0.0,0.0,14.0,28.0,2.0,0.0,4.33333333333,,124.0,106,3.0,26.0,1,107823.0,0,32.0,1.0,WnWv6,False
21,UNKNOWN,Information Technology,0.0,2.0,52.0,194.0,0.0,0.0,3.60869565217,9.0,514.0,0,3.0,11.0,1,63964.0,1,380.0,1.0,4KrwX,False
22,Jobvite,Finance,3.0,0.0,64.0,116.0,12.0,0.0,4.0,23.0,626.0,140,2.3,8.0,1,46320.0,0,350.0,2.0,lAqhZ,False
23,UNKNOWN,Finance,0.0,0.0,46.0,142.0,8.0,28.0,4.16666666667,19.0,628.0,144,3.0,23.0,1,71970.0,0,3000.0,3.0,RhXWr,False
24,UNKNOWN,Retail,0.0,0.0,68.0,142.0,26.0,0.0,2.15384615385,177.0,2646.0,41,1.8,13.0,1,28308.0,0,100.0,3.0,aw0By,False
25,WorkableHR.com,Computer Hardware & Software,3.0,0.0,8.0,12.0,0.0,4.0,,115.0,148.0,260,3.9,12.0,1,0.0,0,25.0,2.0,FPkKR,False
26,UNKNOWN,Advertising & Marketing,0.0,2.0,284.0,360.0,38.0,6.0,3.42735042735,,1531.0,1071,2.3,13.0,1,79659.0,0,10272.0,28.0,OhHkG,False
27,CustomCrawl,Advertising & Marketing,5.0,0.0,32.0,66.0,0.0,26.0,4.73333333333,74.0,1977.0,182,2.7,21.0,1,45617.0,0,40.0,1.0,SXJ5f,True
28,Jobvite,Computer Hardware & Software,7.0,0.0,58.0,92.0,8.0,6.0,3.57692307692,,1717.0,0,2.8,13.0,1,133487.0,0,350.0,,6yHaJ,True
29,OpenHire (FTP Feed),Finance,9.0,0.0,162.0,374.0,16.0,0.0,3.96923076923,246.0,2452.0,133,2.8,29.0,1,81089.0,0,1443.0,2.0,VXjpo,True
30,EMPLOYER SOURCE,Advertising & Marketing,2.0,4.0,54.0,96.0,8.0,20.0,4.8,132.0,1446.0,726,3.7,12.0,1,79800.0,0,125.0,3.0,qipNC,False
31,UNKNOWN,Accounting & Legal,0.0,0.0,4.0,6.0,0.0,0.0,5.0,,99.0,33,2.0,,0,119500.0,0,16.0,2.0,taGQl,False
32,workDay,Finance,29.0,6.0,118.0,260.0,24.0,0.0,3.26086956522,26.0,1780.0,-168,2.8,47.0,1,38883.0,0,989.0,,Eq8Le,False
33,EMPLOYER SOURCE,Education,11.0,,,,,,,,,1358,2.8,10.0,1,59007.0,0,36.0,2.0,v6ke0,False
34,UNKNOWN,Computer Hardware & Software,0.0,0.0,370.0,944.0,38.0,42.0,3.59868421053,491.0,7745.0,1225,2.8,9.0,1,107718.0,0,947.0,2.0,9v1md,False
35,CustomCrawl,Manufacturing,1.0,2.0,1400.0,4608.0,152.0,18.0,3.150390625,549.0,18670.0,204,3.1,25.0,1,70526.0,1,46270.0,114.0,K4ZqG,False
36,OpenHire (FTP Feed),Business Services,7.0,0.0,40.0,110.0,4.0,0.0,2.88888888889,40.0,697.0,-190,2.0,8.0,1,52147.0,0,2086.0,2.0,R5xPU,False
37,CustomCrawl,Insurance,56.0,0.0,176.0,420.0,66.0,0.0,4.1724137931,1284.0,12506.0,655,2.9,20.0,1,79450.0,0,350.0,6.0,SWcZv,False
38,CustomCrawl,Manufacturing,1.0,52.0,256.0,1306.0,22.0,18.0,4.08035714286,1112.0,6287.0,255,3.0,36.0,1,78788.0,0,7607.0,74.0,o6ipa,False
39,UNKNOWN,Finance,0.0,0.0,6.0,16.0,0.0,0.0,2.33333333333,50.0,109.0,0,,,0,57398.0,0,165.0,,auCb0,False
40,UNKNOWN,Health Care,0.0,0.0,20.0,50.0,8.0,0.0,2.6,216.0,449.0,159,,,0,42048.0,0,350.0,1.0,swrq5,False
41,UNKNOWN,Non-Profit,0.0,0.0,18.0,48.0,4.0,0.0,4.57142857143,,102.0,0,2.3,29.0,1,34977.0,0,19.0,,dsG9Q,False
42,UNKNOWN,Business Services,0.0,2.0,24.0,48.0,10.0,12.0,3.9,,244.0,115,1.5,15.0,1,26476.0,1,160.0,5.0,Ok42N,False
43,Jobvite,Information Technology,101.0,0.0,318.0,1134.0,50.0,14.0,3.6,2334.0,12601.0,971,3.1,31.0,1,173949.0,0,3000.0,21.0,8shFT,False
44,CustomCrawl,Biotech & Pharmaceuticals,1.0,0.0,10.0,24.0,4.0,0.0,3.6,,101.0,35,2.0,35.0,1,779047.0,0,7500.0,2.0,jbeTI,True
45,EMPLOYER SOURCE,Education,3.0,0.0,28.0,36.0,0.0,0.0,4.0,,90.0,687,,,0,39843.0,0,125.0,2.0,9MHkB,True
46,UNKNOWN,Business Services,0.0,0.0,6.0,18.0,2.0,0.0,4.66666666667,,43.0,77,4.0,30.0,1,62322.0,0,20.0,1.0,pWqyp,False
47,WorkableHR.com,Finance,1.0,0.0,924.0,1662.0,88.0,30.0,3.45768025078,168.0,10623.0,1087,2.3,17.0,1,51607.0,1,7500.0,25.0,awNuU,False
48,other,Health Care,77.0,0.0,20.0,26.0,6.0,0.0,3.875,212.0,3221.0,204,1.8,38.0,1,52488.0,0,750.0,5.0,dUBWd,True
49,other,Business Services,24.0,0.0,72.0,132.0,8.0,0.0,2.8275862069,41.0,671.0,507,2.5,7.0,1,33024.0,0,750.0,4.0,y83Rs,False
50,UNKNOWN,Computer Hardware & Software,0.0,,,,,,,,,1372,2.8,9.0,1,113644.0,0,34.0,10.0,zqZqL,False
51,CustomCrawl,Finance,3.0,0.0,6.0,12.0,2.0,6.0,3.66666666667,12.0,387.0,283,,,0,49024.0,0,350.0,1.0,hsB8C,False
52,ultiRecruit,Health Care,16.0,0.0,14.0,18.0,12.0,14.0,4.33333333333,28.0,227.0,58,2.7,16.0,1,78482.0,0,750.0,,1gTwK,False
53,UNKNOWN,Education,0.0,4.0,1416.0,6956.0,180.0,18.0,3.99496644295,564.0,4237.0,-10,2.5,20.0,1,51459.0,1,30000.0,12.0,6GoNC,False
54,icims,Retail,5528.0,4.0,1540.0,8458.0,184.0,12.0,3.29593495935,3402.0,38324.0,938,2.2,13.0,1,35189.0,0,44568.0,10.0,LWtE1,False
55,CustomCrawl,Information Technology,6.0,14.0,16.0,32.0,2.0,24.0,5.0,199.0,581.0,276,3.3,31.0,1,42000.0,0,25.0,1.0,oGQEd,False
56,tbe,Manufacturing,26.0,0.0,34.0,110.0,4.0,0.0,3.35714285714,218.0,911.0,-52,2.7,20.0,1,57262.0,0,550.0,7.0,A8CGv,False
57,taleo,Health Care,159.0,28.0,728.0,2378.0,106.0,32.0,3.6,4482.0,25949.0,410,2.7,20.0,1,62596.0,0,5800.0,7.0,AndyN,False
58,CustomCrawl,"Restaurants, Bars & Food Services",11.0,2.0,46.0,74.0,2.0,4.0,2.78947368421,,257.0,149,2.0,7.0,1,26789.0,0,325.0,4.0,fDIXR,False
59,other,Advertising & Marketing,10.0,0.0,20.0,492.0,0.0,26.0,3.33333333333,791.0,858.0,546,2.0,,0,96862.0,0,7500.0,2.0,aFfIJ,False
60,EMPLOYER SOURCE,Advertising & Marketing,1.0,,,,,,,,,337,1.3,2.0,1,35922.0,0,300.0,,pQH51,False
61,EMPLOYER SOURCE,Accounting & Legal,5.0,0.0,0.0,44.0,0.0,4.0,,140.0,4.0,184,,,0,0.0,0,25.0,2.0,lgvGQ,False
62,CustomCrawl,Non-Profit,58.0,0.0,18.0,104.0,0.0,0.0,2.875,811.0,977.0,242,3.0,11.0,1,32085.0,0,1000.0,4.0,EOQqG,False
63,Jobvite,Advertising & Marketing,84.0,0.0,112.0,138.0,20.0,58.0,3.3125,1384.0,1257.0,859,1.9,5.0,1,29014.0,0,300.0,6.0,Gtx4P,False
64,iCIMS Master Feed,Manufacturing,98.0,0.0,140.0,364.0,16.0,22.0,2.6393442623,885.0,2990.0,894,2.3,34.0,1,52139.0,0,3000.0,3.0,7ia1Y,False
65,UNKNOWN,Advertising & Marketing,0.0,0.0,28.0,56.0,8.0,0.0,3.21428571429,29.0,542.0,0,,,0,51250.0,0,350.0,1.0,8wLDw,False
66,UNKNOWN,Finance,0.0,2.0,38.0,6.0,0.0,26.0,3.46666666667,,307.0,403,3.2,15.0,1,47179.0,0,165.0,4.0,I3497,False
67,UNKNOWN,Computer Hardware & Software,0.0,0.0,42.0,100.0,12.0,0.0,2.52941176471,,2014.0,562,3.3,19.0,1,187724.0,0,350.0,,cStzu,False
68,UNKNOWN,Education,0.0,0.0,40.0,108.0,6.0,0.0,3.6875,8.0,268.0,0,1.6,4.0,1,30864.0,0,12.0,1.0,FRGkO,False
69,other,Health Care,29.0,0.0,62.0,92.0,34.0,22.0,2.21428571429,130.0,1304.0,325,2.6,21.0,1,44714.0,0,750.0,2.0,DSbQl,False
70,CustomCrawl,Computer Hardware & Software,2.0,0.0,48.0,56.0,10.0,0.0,3.13333333333,17.0,465.0,0,2.7,12.0,1,43379.0,0,6.0,1.0,oVisy,False
71,WorkableHR.com,Business Services,2.0,0.0,16.0,44.0,6.0,0.0,4.25,253.0,44.0,150,,,0,69425.0,0,325.0,2.0,Adlx0,False
72,UNKNOWN,Education,0.0,0.0,38.0,82.0,0.0,2.0,1.76923076923,,166.0,572,2.8,18.0,1,42689.0,0,25.0,3.0,LaN8k,True
73,UNKNOWN,Information Technology,0.0,0.0,114.0,206.0,18.0,26.0,3.30612244898,44.0,970.0,268,2.8,8.0,1,27502.0,0,73.0,2.0,YiHx5,False
74,WorkforceNow,Business Services,30.0,0.0,22.0,48.0,6.0,0.0,2.4,,433.0,554,3.0,7.0,1,62991.0,0,60.0,1.0,ETFWj,False
75,other,Manufacturing,16.0,0.0,32.0,192.0,0.0,0.0,2.83333333333,62.0,321.0,0,2.8,11.0,1,61063.0,0,645.0,1.0,elI0v,False
76,taleo,Business Services,702.0,0.0,1290.0,4340.0,232.0,14.0,2.46588693957,3018.0,33398.0,870,2.2,11.0,1,144828.0,1,90000.0,45.0,XvVWT,False
77,OpenHire (FTP Feed),Health Care,48.0,0.0,14.0,28.0,2.0,0.0,3.0,81.0,226.0,0,1.3,13.0,1,56886.0,0,500.0,1.0,LeZvP,False
78,UNKNOWN,Real Estate,0.0,0.0,36.0,72.0,12.0,0.0,2.28571428571,234.0,813.0,235,1.5,2.0,1,40314.0,0,50.0,1.0,HbSxQ,False
79,other,Telecommunications,100.0,0.0,22.0,80.0,2.0,0.0,2.88888888889,69.0,371.0,0,3.0,15.0,1,32640.0,0,500.0,8.0,1botD,False
80,ultiRecruit,Business Services,11.0,0.0,172.0,314.0,12.0,0.0,2.62686567164,120.0,1622.0,942,2.7,13.0,1,70413.0,0,450.0,3.0,yZwbf,False
81,WorkableHR.com,Telecommunications,12.0,0.0,26.0,58.0,6.0,16.0,3.0,14.0,103.0,344,,,0,50304.0,0,125.0,2.0,1NINM,False
82,icims,Travel & Tourism,57.0,0.0,20.0,42.0,8.0,28.0,3.1,124.0,532.0,0,2.0,151.0,1,33789.0,1,3000.0,9.0,lDSox,False
83,workDay,Business Services,283.0,0.0,858.0,1318.0,112.0,0.0,1.97050147493,1746.0,10211.0,261,2.2,19.0,1,42195.0,0,7500.0,5.0,ZgIn1,False
84,CustomCrawl,Finance,1.0,0.0,4.0,68.0,0.0,0.0,4.0,88.0,350.0,137,2.0,19.0,1,40813.0,0,426.0,2.0,Q22Oq,False
85,WorkforceNow,Accounting & Legal,15.0,0.0,40.0,102.0,4.0,20.0,4.0,65.0,690.0,651,2.9,9.0,1,55558.0,0,142.0,6.0,QioBq,False
86,CustomCrawl,Computer Hardware & Software,215.0,0.0,16.0,24.0,14.0,0.0,2.6,,2387.0,25,2.5,10.0,1,60450.0,0,151.0,4.0,s9muH,False
87,UNKNOWN,Advertising & Marketing,0.0,0.0,18.0,40.0,2.0,0.0,4.0,,414.0,332,2.6,10.0,1,56327.0,0,350.0,3.0,70iUV,False
88,CustomCrawl,Advertising & Marketing,30.0,0.0,1510.0,4898.0,176.0,36.0,3.10552763819,1488.0,27011.0,1058,2.7,18.0,1,667277.0,0,16000.0,35.0,3r055,False
89,UNKNOWN,Manufacturing,0.0,0.0,0.0,6.0,0.0,0.0,,30.0,320.0,68,3.0,10.0,1,37125.0,0,51.0,2.0,Lsq2D,False
90,UNKNOWN,Health Care,0.0,0.0,2.0,8.0,0.0,0.0,5.0,23.0,26.0,490,,,0,0.0,0,125.0,1.0,zitfh,False
91,CustomCrawl,Retail,351.0,0.0,62.0,276.0,14.0,2.0,2.82608695652,33.0,800.0,671,2.8,12.0,1,328569.0,0,15000.0,,3mqb3,False
92,EMPLOYER SOURCE,Business Services,1.0,0.0,104.0,126.0,24.0,6.0,3.54545454545,67.0,1823.0,183,1.3,6.0,1,26168.0,0,350.0,3.0,1XsjD,False
93,ApplicantPro,Retail,16.0,0.0,36.0,66.0,20.0,2.0,3.1875,44.0,370.0,499,2.1,7.0,1,47446.0,0,270.0,9.0,fQwPy,False
94,CustomCrawl,Information Technology,4.0,4.0,42.0,86.0,2.0,10.0,3.13333333333,59.0,975.0,532,2.6,23.0,1,23260.0,0,350.0,15.0,GoInn,False
95,UNKNOWN,Business Services,0.0,2.0,2.0,14.0,2.0,0.0,1.0,,84.0,31,,,0,27445.0,0,100.0,1.0,IrCIJ,False
96,UNKNOWN,Education,0.0,2.0,28.0,70.0,0.0,2.0,2.71428571429,,103.0,22,2.0,2.0,1,43856.0,0,143.0,1.0,2YWin,False
97,OpenHire (FTP Feed),Health Care,89.0,0.0,34.0,94.0,6.0,8.0,3.07142857143,597.0,1214.0,197,1.3,9.0,1,50938.0,0,750.0,1.0,6DMll,False
98,EMPLOYER SOURCE,Retail,156.0,2.0,512.0,2334.0,58.0,2.0,3.36180904523,1573.0,9878.0,659,2.4,12.0,1,47042.0,0,15000.0,21.0,YwIuo,True
99,UNKNOWN,Advertising & Marketing,0.0,0.0,30.0,82.0,12.0,4.0,2.18181818182,,116.0,265,2.4,5.0,1,25480.0,0,4.0,3.0,mjfhb,False
100,ultiRecruit,Biotech & Pharmaceuticals,31.0,0.0,2.0,6.0,2.0,0.0,5.0,398.0,681.0,0,,,0,60000.0,0,750.0,1.0,IysRP,False
101,CustomCrawl,Information Technology,5.0,0.0,54.0,86.0,2.0,6.0,2.95652173913,3.0,716.0,573,2.7,24.0,1,108023.0,0,125.0,4.0,eNdvM,False
102,UNKNOWN,Retail,0.0,0.0,134.0,212.0,12.0,0.0,1.96296296296,,1007.0,923,2.1,12.0,1,32349.0,0,10000.0,1.0,L8B5Q,False
103,CustomCrawl,Computer Hardware & Software,18.0,18.0,116.0,516.0,80.0,32.0,4.69387755102,1668.0,5242.0,803,2.4,11.0,1,51383.0,0,350.0,4.0,wILSO,True
104,UNKNOWN,Health Care,0.0,0.0,6.0,10.0,0.0,0.0,2.33333333333,229.0,251.0,90,,,0,62400.0,0,250.0,3.0,Opqw7,False
105,taleo,Information Technology,383.0,0.0,120.0,254.0,22.0,0.0,3.04,1887.0,4752.0,577,2.3,11.0,1,67189.0,0,6500.0,9.0,DZOT3,False
106,other,Business Services,355.0,0.0,38.0,66.0,6.0,0.0,2.28571428571,114.0,1189.0,491,2.1,12.0,1,33851.0,0,3000.0,1.0,EqpFI,False
107,CustomCrawl,Information Technology,8.0,0.0,38.0,90.0,2.0,20.0,3.625,32.0,398.0,604,2.7,14.0,1,89254.0,1,350.0,1.0,DZgXx,False
108,UNKNOWN,Education,0.0,0.0,6.0,14.0,0.0,0.0,3.33333333333,,46.0,0,,,0,0.0,0,100.0,2.0,htdJE,False
109,other,Biotech & Pharmaceuticals,46.0,0.0,64.0,352.0,10.0,0.0,2.69230769231,118.0,1580.0,333,1.9,16.0,1,37206.0,0,800.0,4.0,Xq3TA,True
110,UNKNOWN,,0.0,0.0,18.0,78.0,0.0,0.0,4.2,,949.0,0,3.2,21.0,1,73821.0,0,30.0,,uZzpi,False
111,CustomCrawl,Advertising & Marketing,13.0,,,,,,,,,77,2.3,3.0,1,46489.0,0,3.0,2.0,j2NTG,False
112,taleo,Finance,52.0,0.0,122.0,292.0,12.0,6.0,2.64,874.0,,573,2.3,13.0,1,50552.0,0,3000.0,10.0,wyobR,False
113,UNKNOWN,Manufacturing,0.0,0.0,92.0,496.0,24.0,0.0,2.55555555556,1272.0,2693.0,0,2.1,25.0,1,40086.0,0,7500.0,59.0,EePMU,False
114,other,Real Estate,121.0,6.0,94.0,144.0,10.0,26.0,3.80952380952,261.0,1574.0,497,2.7,21.0,1,56335.0,0,750.0,5.0,H4eug,False
115,other,Information Technology,3.0,0.0,20.0,46.0,0.0,30.0,5.0,12.0,763.0,498,3.0,14.0,1,147500.0,0,38.0,5.0,IpIZ6,False
116,EMPLOYER SOURCE,Health Care,1.0,0.0,22.0,26.0,2.0,0.0,1.66666666667,171.0,525.0,51,1.0,3.0,1,45357.0,0,64.0,1.0,fS6ox,False
117,icims,Health Care,77.0,0.0,116.0,450.0,20.0,0.0,2.42857142857,202.0,3011.0,311,2.4,22.0,1,149442.0,1,7500.0,10.0,7FJLw,False
118,UNKNOWN,Travel & Tourism,0.0,0.0,104.0,406.0,12.0,2.0,3.0,168.0,3707.0,0,3.0,41.0,1,106817.0,0,1998.0,1.0,hVJsy,False
119,EMPLOYER SOURCE,Education,1000.0,0.0,1328.0,4884.0,124.0,38.0,3.8275261324,4455.0,11490.0,-8,2.5,34.0,1,59824.0,0,12646.0,5.0,MAvFk,False
120,ultiRecruit,Non-Profit,11.0,6.0,10.0,34.0,6.0,8.0,3.8,129.0,270.0,281,,,0,54400.0,0,350.0,5.0,v5BNt,False
121,CustomCrawl,Business Services,16.0,2.0,110.0,236.0,6.0,26.0,3.51351351351,199.0,2363.0,119,3.1,14.0,1,108124.0,0,125.0,6.0,Zyi3B,False
122,CustomCrawl,Health Care,1070.0,12.0,400.0,1404.0,46.0,30.0,3.37804878049,5880.0,15694.0,618,2.6,30.0,1,55114.0,0,28000.0,6.0,iKGIl,True
123,UNKNOWN,Consumer Services,0.0,0.0,16.0,118.0,0.0,0.0,2.125,,89.0,-95,,,0,24798.0,0,40.0,,jbc2p,False
124,UNKNOWN,Manufacturing,0.0,0.0,132.0,790.0,28.0,0.0,3.49122807018,,1903.0,-128,2.1,6.0,1,73744.0,0,45.0,1.0,KA6VM,False
125,other,Information Technology,785.0,0.0,1902.0,6786.0,216.0,28.0,3.53681392236,2722.0,19377.0,439,2.9,11.0,1,341193.0,0,18226.0,17.0,nK6px,False
126,other,Information Technology,9.0,0.0,2.0,2.0,0.0,0.0,5.0,,234.0,16,3.0,38.0,1,351000.0,0,125.0,2.0,0KJ06,True
127,other,"Construction, Repair & Maintenance",5.0,0.0,6.0,14.0,2.0,6.0,5.0,22.0,52.0,794,,,0,26077.0,0,45.0,1.0,Y4ARi,False
128,CustomCrawl,Accounting & Legal,13.0,0.0,20.0,548.0,6.0,0.0,2.8,,301.0,-112,2.0,2.0,1,64269.0,0,165.0,1.0,DuA5P,False
129,UNKNOWN,Business Services,0.0,0.0,92.0,194.0,16.0,12.0,2.73170731707,163.0,1233.0,338,2.7,26.0,1,39269.0,0,550.0,3.0,tq2nf,False
130,UNKNOWN,Travel & Tourism,0.0,0.0,2.0,2.0,2.0,2.0,5.0,11.0,13.0,22,,,0,0.0,0,350.0,2.0,GxElq,False
131,CustomCrawl,Insurance,75.0,0.0,386.0,600.0,30.0,2.0,3.31818181818,640.0,7561.0,244,2.6,19.0,1,79590.0,0,7500.0,1.0,xZm3X,True
132,CustomCrawl,Retail,806.0,0.0,2494.0,5368.0,210.0,40.0,2.54254254254,4244.0,22985.0,975,2.0,14.0,1,33378.0,0,15000.0,14.0,9fAG8,False
133,tbe,Retail,1005.0,12.0,5386.0,23026.0,412.0,44.0,3.36563245823,18167.0,63813.0,1031,2.2,11.0,1,37302.0,0,33780.0,17.0,H0Wsp,False
134,CustomCrawl,Information Technology,35.0,0.0,204.0,518.0,16.0,12.0,3.05063291139,705.0,5022.0,776,2.6,25.0,1,69496.0,0,3360.0,20.0,T43xO,False
135,other,Government,94.0,4.0,158.0,444.0,32.0,10.0,3.08823529412,968.0,2027.0,64,2.9,47.0,1,62164.0,0,15000.0,10.0,kTPY4,False
136,CustomCrawl,"Construction, Repair & Maintenance",291.0,4.0,214.0,354.0,22.0,12.0,2.07216494845,483.0,2259.0,385,1.9,18.0,1,42550.0,0,6725.0,1.0,ymp6M,False
137,UNKNOWN,Accounting & Legal,0.0,,,,,,,,,409,1.7,8.0,1,69870.0,0,35.0,1.0,4XwNM,False
138,healthcareSource,Health Care,164.0,0.0,144.0,486.0,8.0,0.0,3.84615384615,1387.0,4197.0,0,3.2,24.0,1,60549.0,0,7500.0,4.0,WBA1h,True
139,CustomCrawl,Computer Hardware & Software,54.0,2.0,128.0,256.0,8.0,2.0,3.70833333333,334.0,2427.0,874,3.0,13.0,1,110154.0,0,350.0,12.0,T2vPe,True
140,icims,Manufacturing,39.0,6.0,394.0,1066.0,66.0,8.0,3.20125786164,1092.0,11288.0,11,2.9,31.0,1,82997.0,0,25000.0,35.0,MaB0m,False
141,icims,Health Care,194.0,0.0,50.0,330.0,12.0,0.0,2.45454545455,2895.0,2662.0,-23,2.3,8.0,1,42864.0,0,3000.0,15.0,h1p9R,False
142,UNKNOWN,"Arts, Entertainment & Recreation",0.0,0.0,22.0,26.0,6.0,0.0,3.72727272727,,287.0,245,4.0,21.0,1,0.0,0,10.0,1.0,ZxdjA,False
143,UNKNOWN,"Restaurants, Bars & Food Services",0.0,0.0,2.0,6.0,2.0,0.0,4.0,,98.0,0,,,0,55368.0,0,10.0,2.0,2gOYP,False
144,workDay,Finance,62.0,10.0,622.0,926.0,88.0,42.0,3.10062893082,553.0,8936.0,61,3.1,13.0,1,73616.0,1,3000.0,30.0,yXW19,False
145,other,Information Technology,13.0,0.0,130.0,144.0,12.0,18.0,3.86666666667,305.0,3228.0,539,3.0,14.0,1,52309.0,0,38.0,4.0,IeqJN,False
146,CustomCrawl,Retail,16.0,0.0,12.0,26.0,0.0,0.0,2.0,38.0,110.0,40,,,0,83904.0,0,23.0,,CkaF2,False
147,other,Finance,4.0,0.0,24.0,58.0,6.0,0.0,3.9,39.0,185.0,406,3.0,19.0,1,51560.0,0,350.0,2.0,cCg1l,False
148,UNKNOWN,Computer Hardware & Software,0.0,0.0,54.0,74.0,12.0,22.0,3.17391304348,,359.0,280,2.8,3.0,1,101939.0,0,47.0,1.0,O99bK,False
149,EMPLOYER SOURCE,Health Care,182.0,12.0,350.0,1016.0,20.0,8.0,3.87412587413,5617.0,11381.0,808,2.8,65.0,1,70848.0,1,15000.0,42.0,btHR0,False
150,CustomCrawl,Business Services,130.0,0.0,740.0,1982.0,52.0,4.0,3.10034602076,4126.0,15452.0,738,2.6,20.0,1,74015.0,0,9300.0,21.0,BWz3A,False
151,UNKNOWN,,0.0,0.0,14.0,14.0,12.0,0.0,3.5,1.0,99.0,233,3.0,12.0,1,74900.0,0,100.0,1.0,kmwaw,False
152,CustomCrawl,Business Services,96.0,2.0,26.0,46.0,4.0,0.0,3.16666666667,217.0,443.0,-396,3.0,28.0,1,89815.0,0,350.0,,Rx3In,False
153,iCIMS Master Feed,Advertising & Marketing,5.0,0.0,108.0,286.0,6.0,28.0,3.46666666667,51.0,747.0,867,2.7,14.0,1,61739.0,1,355.0,1.0,XoMU0,False
154,UNKNOWN,Insurance,0.0,0.0,30.0,54.0,2.0,0.0,1.63636363636,85.0,615.0,-82,3.6,23.0,1,110319.0,1,350.0,,3KxOJ,False
155,EMPLOYER SOURCE,Manufacturing,15.0,,,,,,,,,1251,2.6,18.0,1,65597.0,0,8000.0,3.0,BXCbT,False
156,app.theresumator.com,Accounting & Legal,13.0,0.0,6.0,18.0,0.0,0.0,4.0,116.0,277.0,0,4.0,45.0,1,36833.0,0,38.0,,hyWM7,False
157,other,Business Services,5.0,4.0,44.0,172.0,10.0,10.0,4.14285714286,227.0,673.0,334,3.3,18.0,1,34285.0,0,400.0,2.0,v3xbR,False
